algorithm_key,algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
xgboost,XGBoost,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04895608351331893,140,0.0503959683225342,722,972.0,0.5699154554402365,0.5441732622282471,0.5464752137527653,629,0.36939971809568556,0.19390581717451524,9,8,7,6,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617,0.0,0.0,True,True,True,False,True,False,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost,XGBoost,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7379409647228222,0.7270540790816891,0.3166109253065775,0.7117794486215538,0.7423287095418243,0.4382716049382716,0.345990758574575,0.10552690197164064,1766,613,115,284,0.176466839134463,0.7880814899796782,0.40536484339565887,-0.37632701802928226,0.900852870014021,0.019798416126709864,55,0.019798416126709864,722,972.0,0.5036233240077187,0.483444008929113,0.483914305590644,629,0.28305808718549713,0.07617728531855955,9,27,1,4,14,0.8324393928523459,0.1183240762587812,0.5364219174722495,0.5435447787511751,0.5619011859547323,0.5955882352941176,0.11631923787943214,True,True,True,True,True,True,True,True,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost,XGBoost,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7282217422606192,0.7182505443937713,0.30610021786492375,0.7042606516290727,0.73224043715847,0.4267274107820805,0.35837263545334136,0.11082556699042341,1742,637,118,281,0.176466839134463,0.7821371419300669,0.3928939638663461,-0.6297031392452024,0.7748889305664916,0.016918646508279338,47,0.016918646508279338,722,972.0,0.42842999313641755,0.4133175774814666,0.41184115590135284,629,0.21697209521366492,0.06509695290858726,7,37,1,2,0,0.7687077097781195,0.1354957876242157,0.43733587812725055,0.49623740083700535,0.47207464954791584,0.6544117647058824,0.24825693171371738,False,True,True,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost,XGBoost,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7224622030237581,0.7159307474234136,0.30128205128205127,0.706766917293233,0.725094577553594,0.42247191011235957,0.37905296426351365,0.12043211710183041,1725,654,117,282,0.176466839134463,0.7787248701830236,0.3868130147525362,-0.8568254226454114,0.6859376287947578,0.014038876889848811,39,0.014038876889848811,722,972.0,0.3475836397942426,0.3383340282165307,0.3334131667957336,629,0.16074603355835584,0.054016620498614956,1,38,0,0,0,0.6846084837189708,0.15766430716019333,0.34047113494030096,0.44205074661360333,0.3742965180306749,0.7132352941176471,0.3901136800619867,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost,XGBoost,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7242620590352772,0.7180245696207732,0.3033226152197213,0.7092731829573935,0.726775956284153,0.42492492492492495,0.397860414014763,0.12856090306826512,1729,650,116,283,0.176466839134463,0.7763086783794291,0.3806211075867581,-0.9855904641855978,0.6135579842679626,0.013678905687544997,38,0.013678905687544997,722,972.0,0.2949984081924642,0.2887998202917145,0.2810626742117715,629,0.13052503890429162,0.05263157894736842,1,37,0,0,0,0.6018907699070393,0.16175386156234803,0.27968250751164814,0.39704395052345376,0.3128999300498293,0.7205882352941176,0.48238215795606043,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost,XGBoost,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.724622030237581,0.7182347419620931,0.30364806866952787,0.7092731829573935,0.7271963009667928,0.425244177310293,0.4134966262697107,0.13501058283844716,1730,649,116,283,0.176466839134463,0.7758999221466866,0.3739841753009312,-1.0729664118005373,0.5821293797236612,0.013678905687544997,38,0.013678905687544997,722,972.0,0.2613281730973876,0.2578147925951529,0.24786584670683673,629,0.1125944832362049,0.05263157894736842,1,37,0,0,0,0.56158003091189,0.17420693476720991,0.24517972916913003,0.35991521832326795,0.2714748159878414,0.7205882352941176,0.5414615087153195,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost,XGBoost,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7217422606191505,0.7134244817592531,0.29978586723768735,0.7017543859649122,0.725094577553594,0.42010502625656415,0.44337336727970006,0.1457678433495497,1725,654,119,280,0.176466839134463,0.773171895691309,0.36951411792223665,-1.1862170583334646,0.5144581587911518,0.013678905687544997,38,0.013678905687544997,722,972.0,0.2109484864510249,0.21024419200179464,0.19694711752130403,629,0.08864460686414682,0.05263157894736842,1,37,0,0,0,0.46950847325701534,0.17724506596928807,0.19366457733377884,0.2877832219487163,0.21298248882040197,0.7205882352941176,0.6298600354888151,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost,XGBoost,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.720662347012239,0.7138369252260538,0.2992545260915868,0.7042606516290727,0.7234131988230349,0.4200298953662182,0.46735631154625606,0.15295152784288565,1721,658,118,281,0.176466839134463,0.7708937117910372,0.37020004756847813,-1.2548696207156513,0.4744114291827169,0.013678905687544997,38,0.013678905687544997,722,972.0,0.18014882063842325,0.18107388241902314,0.1657353208141413,629,0.0751822347137639,0.05263157894736842,1,37,0,0,0,0.41528901917782596,0.1760866709313191,0.1606702036642935,0.2622028083092236,0.17747724221605082,0.7205882352941176,0.6839025527053559,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
lightgbm,LightGBM,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.04283657307415407,121,0.0435565154787617,722,972.0,0.5716697723876557,0.5461855457469048,0.548673458941187,629,0.36685097670401867,0.16759002770083103,9,9,6,6,91,0.8638260760203477,0.08276934369713913,0.6308009009096434,0.6544595726203124,0.6452682189261444,0.0,0.0,True,True,True,False,True,False,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm,LightGBM,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7249820014398848,0.724702677247975,0.3064687168610817,0.7243107769423559,0.725094577553594,0.4307004470938897,0.34573016287755515,0.10532552739557705,1725,654,110,289,0.1620460991482594,0.787225524930443,0.404844455644664,-0.38384702683023564,0.8769333967227718,0.020158387329013677,56,0.020158387329013677,722,972.0,0.50326287070996,0.4826379666874183,0.48424372894119494,629,0.284805099199124,0.07756232686980609,8,29,2,6,11,0.810495803558491,0.10702650836800569,0.5311210149762018,0.6111952179581552,0.5628275935270605,0.5294117647058824,0.11966156858702721,True,True,True,True,True,True,True,True,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm,LightGBM,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7181425485961123,0.7217523632536574,0.3008298755186722,0.7268170426065163,0.7166876839007986,0.425531914893617,0.35845414518180846,0.11083510073493583,1705,674,109,290,0.1620460991482594,0.7815519252102513,0.3957719403581861,-0.6236476308624972,0.7791299337162709,0.01655867530597552,46,0.01655867530597552,722,972.0,0.42974287007026074,0.4147868496092746,0.41391997104692135,629,0.21730282504248538,0.06371191135734072,6,37,1,2,0,0.7521800878661213,0.1342917924701329,0.43766832089302793,0.5593435780345014,0.4729358571615885,0.6134453781512605,0.248267285017744,False,True,True,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm,LightGBM,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7102231821454283,0.7181715322353803,0.29453441295546556,0.7293233082706767,0.7070197562000841,0.41961067051189616,0.3789783090682988,0.12027485098082806,1682,697,108,291,0.1620460991482594,0.7777493334007569,0.3846870929416893,-0.8479557632261636,0.6781528465568691,0.014038876889848811,39,0.014038876889848811,722,972.0,0.3496565430155844,0.34046659897121506,0.3359758948168239,629,0.16171332383254805,0.054016620498614956,1,38,0,0,0,0.6826510554155102,0.15577966862016054,0.34467365093481783,0.4806236171644173,0.3761971014157231,0.6722689075630253,0.38835922432071784,False,False,True,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm,LightGBM,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7120230381569475,0.7202653544327401,0.29644670050761424,0.731829573934837,0.7087011349306431,0.42196531791907516,0.39907107931776714,0.1287940020358838,1686,693,107,292,0.1620460991482594,0.7739578032934374,0.3759610712828837,-0.9875008270153433,0.6062070238495605,0.013678905687544997,38,0.013678905687544997,722,972.0,0.29453851549074805,0.28869911537067383,0.28129667586296453,629,0.12996129696513536,0.05263157894736842,0,38,0,0,0,0.5990329756325387,0.16357497633839918,0.2799314535942772,0.4273216123795454,0.31140270303752243,0.6806722689075629,0.4847750751967026,False,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm,LightGBM,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7123830093592513,0.7225614477555806,0.2975708502024291,0.7368421052631579,0.7082807902480034,0.4239365537130497,0.416125436834405,0.13557882696562848,1685,694,105,294,0.1620460991482594,0.7719846063245545,0.3733106549417781,-1.0734527586162055,0.5621574200851501,0.013678905687544997,38,0.013678905687544997,722,972.0,0.25797483143163974,0.25441189245548107,0.24453808376539954,629,0.1109848203734154,0.05263157894736842,0,38,0,0,0,0.5597297919182685,0.16659141748711992,0.24286297305901028,0.3806812366095471,0.26826459919478585,0.6806722689075629,0.5487345249090692,True,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm,LightGBM,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7105831533477321,0.7183817045767003,0.2948328267477204,0.7293233082706767,0.7074401008827238,0.4199134199134199,0.4436415427670358,0.14561539851113767,1683,696,108,291,0.1620460991482594,0.7720499230421577,0.367753076425996,-1.1805986785837261,0.5090780237043642,0.013678905687544997,38,0.013678905687544997,722,972.0,0.21081394602307152,0.21014823506357605,0.19709800383272919,629,0.08841650296404377,0.05263157894736842,0,38,0,0,0,0.49204689469132445,0.17260729680977532,0.19129297600289055,0.32546434905257027,0.2127365192740944,0.6806722689075629,0.6312312523669413,False,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
