algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05,ablation,training_rule_control,training_rules,algorithm_key,algorithm_display,delta_balanced_accuracy_vs_all,delta_recall_sensitivity_vs_all,delta_specificity_vs_all,delta_roc_auc_vs_all,delta_average_precision_vs_all,delta_patient_violation_rate_vs_all,delta_soft_rule_violation_vs_all
xgboost:all_rules,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7584593232541397,0.7327761395923604,0.3357487922705314,0.6967418546365914,0.7688104245481294,0.4531377343113284,0.3291223672462998,0.0981857885924432,1829,550,121,278,0.176466839134463,0.8036995599549525,0.466834644514072,-0.1254640612444213,1.0205112273465973,0.0190784737221022,53,0.0190784737221022,639,864.5,0.5189360444122836,0.4992024787773004,0.5017041208671862,566,0.2655939479130623,0.082942097026604,5.0,23.0,5.0,6.0,14.0,0.740218767330026,0.1083107839349324,0.5489085206203551,0.6650865335439761,0.5748551062338101,all_rules,none,"LR01,LR02,LR03,LR04,LR05",xgboost,XGBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost:single_LR01,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7890568754499641,0.7235238158447822,0.3646888567293777,0.631578947368421,0.8154686843211434,0.4623853211009174,0.3290779509883934,0.0982881328427265,1940,439,147,252,0.176466839134463,0.8019323213456085,0.4609129857159938,0.062068697077071,1.0375440184860314,0.0003599712023038,1,0.0003599712023038,10,10.0,0.5890192384379087,0.5890192384379087,0.5890192384379087,10,0.0037556255989568,0.1,1.0,,,,,0.5890192384379087,,,,,single_LR01,none,LR01,xgboost,XGBoost,-0.009252323747578228,-0.06516290726817042,0.046658259773013966,-0.001767238609343913,-0.005921658798078155,-0.0187185025197984,0.07008319402562513
xgboost:single_LR02,1.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7926565874730022,0.7245825787672207,0.3696612665684831,0.6290726817042607,0.8200924758301807,0.4656771799628942,0.3298660126706221,0.0979075593476766,1951,428,148,251,0.176466839134463,0.7968644815064142,0.4746194851670975,0.0714445120163637,1.025950406912966,0.0,0,0.0,108,108.0,0.0444922817416122,0.0444922817416122,0.0444922817416122,108,0.0017866597675866,0.0,,0.0,,,,,0.0444922817416122,,,,single_LR02,none,LR02,xgboost,XGBoost,-0.008193560825139778,-0.06766917293233077,0.05128205128205132,-0.0068350784485382565,0.007784840653025538,-0.0190784737221022,-0.4744437626706714
xgboost:single_LR03,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7847372210223182,0.7272595106935055,0.3608391608391608,0.6466165413533834,0.8079024800336275,0.4631956912028725,0.3281640743148602,0.0978818660251566,1922,457,141,258,0.176466839134463,0.8030564009856503,0.46724386318407,0.1090653401703855,1.0938061701643382,0.0021598272138228,6,0.0021598272138228,51,51.0,0.6054074732539533,0.6054074732539533,0.6054074732539533,51,0.019644849782673,0.1176470588235294,,,6.0,,,,,0.6054074732539533,,,single_LR03,none,LR03,xgboost,XGBoost,-0.005516628898854958,-0.05012531328320802,0.0390920554854981,-0.0006431589693021156,0.000409218669998046,-0.0169186465082794,0.0864714288416697
xgboost:single_LR04,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7894168466522679,0.7258199091676227,0.3659942363112392,0.6365914786967418,0.8150483396385035,0.464775846294602,0.3281011861249313,0.0978316919444729,1939,440,145,254,0.176466839134463,0.8026086654214349,0.4668128995463184,0.0904568462623987,1.0551915024103815,0.0010799136069114,3,0.0010799136069114,19,19.0,0.6079067852449989,0.6079067852449989,0.6079067852449987,19,0.0074648487180892,0.1578947368421052,,,,3.0,,,,,0.6079067852449987,,single_LR04,none,LR04,xgboost,XGBoost,-0.006956230424737697,-0.06015037593984962,0.046237915090374115,-0.0010908945335175169,-2.1744967753589695e-05,-0.017998560115190798,0.08897074083271528
xgboost:single_LR05,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7624190064794817,0.7288302724023172,0.337888198757764,0.681704260651629,0.7759562841530054,0.4518272425249169,0.3280583048252867,0.0978598429715773,1846,533,127,272,0.176466839134463,0.8041035754581914,0.471720741781584,-0.134720585620807,0.98270296869216,0.0061195104391648,17,0.0061195104391648,451,676.5,0.5751938868620864,0.5751938868620865,0.5751938868620864,451,0.2310690652911642,0.0376940133037694,,,,,17.0,,,,,0.5751938868620864,single_LR05,none,LR05,xgboost,XGBoost,-0.003945867190043195,-0.015037593984962405,0.007145859604876015,0.00040401550323898583,0.004886097267512046,-0.0129589632829374,0.05625784244980281
xgboost:leave_out_LR01,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7624190064794817,0.730916193383838,0.3386897404202719,0.6867167919799498,0.775115594787726,0.4536423841059602,0.3282562963873398,0.0979550561778549,1844,535,125,274,0.176466839134463,0.8048578781969635,0.4694630036113714,-0.1353478290054953,0.9934612647279248,0.019438444924406,55,0.0197984161267098,629,854.5,0.5166022694110105,0.4953390508443145,0.4975026758880219,561,0.2621731006218014,0.0874403815580286,,20.0,5.0,7.0,23.0,,0.1003978357501527,0.5507503999398077,0.6789617822030404,0.5759129766325263,leave_out_LR01,none,"LR02,LR03,LR04,LR05",xgboost,XGBoost,-0.0018599462085224783,-0.010025062656641603,0.006305170239596536,0.0011583182420110694,0.0026283590972994153,0.0003599712023037993,-0.002333775001273075
xgboost:leave_out_LR02,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7606191504679626,0.7309082921679988,0.3370098039215686,0.6892230576441103,0.7725935266918873,0.4526748971193415,0.3284008618961219,0.0980831369121656,1838,541,124,275,0.176466839134463,0.8048468164947888,0.4687884973049656,-0.1425373650939115,0.9907457569841224,0.0122390208783297,34,0.0122390208783297,531,756.5,0.5767652657502897,0.5779528554489024,0.5846860966473494,487,0.2618968184044142,0.064030131826742,5.0,,5.0,6.0,18.0,0.729542700425049,,0.5504116064192415,0.6666648799095495,0.5739687684998979,leave_out_LR02,none,"LR01,LR03,LR04,LR05",xgboost,XGBoost,-0.001867847424361635,-0.007518796992481147,0.003783102143757877,0.0011472565398363832,0.0019538527908936065,-0.006839452843772499,0.057829221338006165
xgboost:leave_out_LR03,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7606191504679626,0.7288223711864782,0.3362068965517241,0.6842105263157895,0.7734342160571669,0.4508670520231214,0.3283257951762023,0.0979605702205518,1840,539,126,273,0.176466839134463,0.8041088429354175,0.4681160790169201,-0.1361695822894324,0.9844050815598204,0.0183585313174946,51,0.0183585313174946,588,813.5,0.5182122094611327,0.4954466865265343,0.4979449296496109,559,0.2524224504943972,0.086734693877551,5.0,20.0,,6.0,20.0,0.7439798241435663,0.0984198632336685,,0.6719761457300941,0.5775741938759611,leave_out_LR03,none,"LR01,LR02,LR04,LR05",xgboost,XGBoost,-0.003953768405882241,-0.012531328320801949,0.004623791509037467,0.0004092829804650533,0.0012814345028481222,-0.0007199424046075986,-0.0007238349511509146
xgboost:leave_out_LR04,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7588192944564435,0.7277715094798788,0.3341493268053855,0.6842105263157895,0.7713324926439681,0.4490131578947368,0.3295225598947885,0.0983008988570711,1835,544,126,273,0.176466839134463,0.8026055049350994,0.4683228307084678,-0.1234670397713212,1.0172656168165095,0.0161987041036717,45,0.0161987041036717,620,845.5,0.5164857619855536,0.4948941856637519,0.4967011019348779,548,0.2571709418547541,0.0725806451612903,5.0,22.0,5.0,,13.0,0.7340275967961071,0.1076135916870844,0.5522199597419856,,0.5758506281474918,leave_out_LR04,none,"LR01,LR02,LR03,LR05",xgboost,XGBoost,-0.005004630112481645,-0.012531328320801949,0.0025220680958386588,-0.0010940550198530463,0.0014881861943958352,-0.0028797696184304986,-0.002450282426729955
xgboost:leave_out_LR05,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.4683195592286501,0.3278361330078786,0.0977664013101556,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.0936264350944857,1.0510456494183482,0.0133189344852411,37,0.0133189344852411,188,188.0,0.3330544913528812,0.3330544913528812,0.3212552293471493,178,0.0440911660686039,0.1968085106382978,6.0,5.0,15.0,11.0,,0.7922094266636119,0.0758732921099129,0.6427528416533685,0.7219705071322714,,leave_out_LR05,none,"LR01,LR02,LR03,LR04",xgboost,XGBoost,-0.00465223588605812,-0.057644110275689164,0.048339638503572924,-0.000926549244064323,0.0013826117719199504,-0.0057595392368610995,-0.1858815530594024
xgboost:control_permuted,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.4683195592286501,0.3278361330078786,0.0977664013101556,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.0936264350944857,1.0510456494183482,0.0547156227501799,161,0.0579553635709143,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.3510298703741485,0.2519561815336463,6.0,5.0,15.0,11.0,124.0,0.7922094266636119,0.0758732921099129,0.6427528416533685,0.7219705071322714,0.6559312878666724,control_permuted,permuted,"LR01,LR02,LR03,LR04,LR05",xgboost,XGBoost,-0.00465223588605812,-0.057644110275689164,0.048339638503572924,-0.000926549244064323,0.0013826117719199504,0.0356371490280777,0.06678027787359919
xgboost:control_column_permuted,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.4683195592286501,0.3278361330078786,0.0977664013101556,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.0936264350944857,1.0510456494183482,0.0547156227501799,161,0.0579553635709143,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.3510298703741485,0.2519561815336463,6.0,5.0,15.0,11.0,124.0,0.7922094266636119,0.0758732921099129,0.6427528416533685,0.7219705071322714,0.6559312878666724,control_column_permuted,column_permuted,"LR01,LR02,LR03,LR04,LR05",xgboost,XGBoost,-0.00465223588605812,-0.057644110275689164,0.048339638503572924,-0.000926549244064323,0.0013826117719199504,0.0356371490280777,0.06678027787359919
xgboost:control_reversed,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.4683195592286501,0.3278361330078786,0.0977664013101556,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.0936264350944857,1.0510456494183482,0.0547156227501799,161,0.0579553635709143,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.3510298703741485,0.2519561815336463,6.0,5.0,15.0,11.0,124.0,0.7922094266636119,0.0758732921099129,0.6427528416533685,0.7219705071322714,0.6559312878666724,control_reversed,reversed,"LR01,LR02,LR03,LR04,LR05",xgboost,XGBoost,-0.00465223588605812,-0.057644110275689164,0.048339638503572924,-0.000926549244064323,0.0013826117719199504,0.0356371490280777,0.06678027787359919
lightgbm:all_rules,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7419006479481641,0.7210222909101252,0.3172413793103448,0.6917293233082706,0.7503152585119798,0.4349881796690307,0.3292399450303464,0.0980506446943396,1785,594,123,276,0.1620460991482594,0.8017769307674398,0.4696461188604691,-0.1550681316042645,0.9796971681275825,0.0176385889128869,49,0.0176385889128869,639,864.5,0.5172276318233672,0.4970385112665947,0.5001659426740935,566,0.2670209372884653,0.0766823161189358,5.0,21.0,5.0,6.0,12.0,0.701541553379624,0.1024667626699693,0.5455467553249469,0.6648179079860408,0.5744376009398982,all_rules,none,"LR01,LR02,LR03,LR04,LR05",lightgbm,LightGBM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm:single_LR01,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7217950298191886,0.3481781376518219,0.6466165413533834,0.7969735182849937,0.4526315789473684,0.329665493330854,0.0982371315584318,1896,483,141,258,0.1620460991482594,0.7995882939800111,0.4670815526255684,0.0808320314805529,1.0530584082362782,0.0,0,0.0,10,10.0,0.5983767357453408,0.5983767357453408,0.5983767357453406,10,0.0035889149517546,0.0,0.0,,,,,0.5983767357453406,,,,,single_LR01,none,LR01,lightgbm,LightGBM,0.0007727389090634862,-0.045112781954887216,0.046658259773013966,-0.002188636787428755,-0.0025645662349007003,-0.0176385889128869,0.08114910392197361
lightgbm:single_LR02,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7778977681785457,0.7222232757176674,0.3510928961748634,0.6441102756892231,0.8003362757461118,0.4544650751547303,0.3294735724201424,0.0978179100790139,1904,475,142,257,0.1620460991482594,0.7974539122080107,0.4732857320273896,0.099137990804141,1.0475557864503444,0.0007199424046076,2,0.0007199424046076,108,108.0,0.0520412840059694,0.0520412840059694,0.0520412840059694,108,0.0021016454335774,0.0185185185185185,,2.0,,,,,0.0520412840059694,,,,single_LR02,none,LR02,lightgbm,LightGBM,0.0012009848075422713,-0.04761904761904756,0.05002101723413199,-0.0043230185594291815,0.003639613166920519,-0.016918646508279303,-0.46518634781739776
lightgbm:single_LR03,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.0917592755432159,1.0539845533676393,0.0043196544276457,12,0.0043196544276457,51,51.0,0.6427075558106076,0.6427075558106076,0.6427075558106076,51,0.0224358966711892,0.2352941176470588,,,12.0,,,,,0.6427075558106076,,,single_LR03,none,LR03,lightgbm,LightGBM,-0.002356142563217478,-0.05263157894736836,0.047919293820933184,-0.0021317480333874483,0.002299260274463033,-0.013318934485241202,0.1254799239872404
lightgbm:single_LR04,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7778977681785457,0.7243091966991881,0.3519021739130434,0.6491228070175439,0.7994955863808323,0.4563876651982378,0.3280936934702707,0.0977811397486913,1902,477,140,259,0.1620460991482594,0.8020597942944794,0.4711703820149344,0.0731465166002405,1.042389798655739,0.0,0,0.0,19,19.0,0.5806798035717131,0.5806798035717131,0.5806798035717131,19,0.0067557267475296,0.0,,,,0.0,,,,,0.5806798035717131,,single_LR04,none,LR04,lightgbm,LightGBM,0.0032869057890629882,-0.04260651629072676,0.049180327868852514,0.0002828635270395452,0.0015242631544652996,-0.0176385889128869,0.06345217174834594
lightgbm:single_LR05,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7455003599712023,0.7293817772678859,0.323394495412844,0.706766917293233,0.7519966372425388,0.4437450826121164,0.3273198770664806,0.0973148586724007,1789,590,117,282,0.1620460991482594,0.804264760261309,0.4823877964363933,-0.1459842561716728,0.9702539818011152,0.0035997120230381,10,0.0035997120230381,451,676.5,0.5760988572264677,0.5760988572264677,0.5760988572264677,451,0.2324171286039735,0.0221729490022172,,,,,10.0,,,,,0.5760988572264677,single_LR05,none,LR05,lightgbm,LightGBM,0.008359486357760737,0.015037593984962405,0.0016813787305590688,0.0024878294938691647,0.012741677575924204,-0.014038876889848801,0.058871225403100524
lightgbm:leave_out_LR01,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7469402447804175,0.7270935851608846,0.3236658932714617,0.6992481203007519,0.7549390500210172,0.4425059476605868,0.3290103157921958,0.0980806569844185,1796,583,120,279,0.1620460991482594,0.8028894219575843,0.4723779263940827,-0.1577484710027253,0.9727771480399036,0.0158387329013678,44,0.0158387329013678,629,854.5,0.5156227058112332,0.4943608114800134,0.4969236940496083,561,0.2618627481179273,0.0699523052464228,,24.0,6.0,6.0,8.0,,0.1038706437489552,0.5478559175165271,0.6579455638503987,0.5749297192672744,leave_out_LR01,none,"LR02,LR03,LR04,LR05",lightgbm,LightGBM,0.006071294250759474,0.007518796992481258,0.004623791509037467,0.001112491190144449,0.0027318075336136283,-0.0017998560115191006,-0.0016049260121340225
lightgbm:leave_out_LR02,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.744060475161987,0.7285410879026064,0.3219178082191781,0.706766917293233,0.7503152585119798,0.4423529411764706,0.3292855569522798,0.0982163815956891,1785,594,117,282,0.1620460991482594,0.8023721556939848,0.4683779784489993,-0.1566118441135549,0.9789650176115956,0.0082793376529877,23,0.0082793376529877,531,756.5,0.5756363444710593,0.5764476812512712,0.5839291978879143,487,0.2613204324237216,0.0433145009416195,5.0,,5.0,6.0,7.0,0.6964131420942522,,0.546012335020737,0.659610870608539,0.5737258352458152,leave_out_LR02,none,"LR01,LR03,LR04,LR05",lightgbm,LightGBM,0.007518796992481258,0.015037593984962405,0.0,0.0005952249265449572,-0.0012681404114697759,-0.009359251259899202,0.058408712647692096
lightgbm:leave_out_LR03,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.0917592755432159,1.0539845533676393,0.046796256299496,130,0.046796256299496,588,813.5,0.5816693520082271,0.5537012871725282,0.5599305183090503,559,0.3231116612048287,0.2210884353741496,5.0,7.0,,7.0,111.0,0.7997263470945637,0.0792975706917617,,0.725875460489381,0.654597166302644,leave_out_LR03,none,"LR01,LR02,LR04,LR05",lightgbm,LightGBM,-0.002356142563217478,-0.05263157894736836,0.047919293820933184,-0.0021317480333874483,0.002299260274463033,0.029157667386609097,0.06444172018485994
lightgbm:leave_out_LR04,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7411807055435565,0.7237308276997665,0.3177676537585421,0.6992481203007519,0.748213535098781,0.4369616288175411,0.3290613750133478,0.097998816492331,1780,599,120,279,0.1620460991482594,0.8027424593429769,0.4748273524667962,-0.1106863885719285,1.0253400757947444,0.0143988480921526,40,0.0143988480921526,620,845.5,0.5174493941392645,0.4958107777109905,0.4979153838433636,548,0.2579539189522329,0.064516129032258,5.0,27.0,4.0,,4.0,0.7292223794914148,0.108618736253262,0.5525112498564647,,0.5769435945185543,leave_out_LR04,none,"LR01,LR02,LR03,LR05",lightgbm,LightGBM,0.002708536789641336,0.007518796992481258,-0.0021017234131988083,0.0009655285755371112,0.005181233606327107,-0.0032397408207343013,0.00022176231589732254
lightgbm:leave_out_LR05,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.0917592755432159,1.0539845533676393,0.0111591072714182,31,0.0111591072714182,188,188.0,0.3358038308579528,0.3358038308579528,0.3237852495181376,178,0.0436735786573551,0.1648936170212765,5.0,7.0,12.0,7.0,,0.7997263470945637,0.0792975706917617,0.6427075558106076,0.725875460489381,,leave_out_LR05,none,"LR01,LR02,LR03,LR04",lightgbm,LightGBM,-0.002356142563217478,-0.05263157894736836,0.047919293820933184,-0.0021317480333874483,0.002299260274463033,-0.0064794816414687015,-0.18142380096541438
lightgbm:control_permuted,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.0917592755432159,1.0539845533676393,0.0489560835133189,142,0.0511159107271418,639,864.5,0.5852702177039141,0.560805073871342,0.5645042738010474,566,0.3455475578760179,0.2222222222222222,5.0,7.0,12.0,7.0,111.0,0.7997263470945637,0.0792975706917617,0.6427075558106076,0.725875460489381,0.654597166302644,control_permuted,permuted,"LR01,LR02,LR03,LR04,LR05",lightgbm,LightGBM,-0.002356142563217478,-0.05263157894736836,0.047919293820933184,-0.0021317480333874483,0.002299260274463033,0.031317494600432,0.0680425858805469
